campaign_id,stat_date,placement,platform,advertiser_industry,impression_cnt,click_cnt,revenue,currency,viewability_rate
cmp_202410_001,2024-10-09,top_banner,adx_prog,電信,106596,209,125.71,USD,0.529
cmp_202410_001,2024-10-10,top_banner,adx_prog,電信,23841,43,33.57,USD,0.64
cmp_202410_001,2024-10-11,top_banner,adx_prog,電信,228045,380,219.22,USD,0.555
cmp_202410_001,2024-10-12,top_banner,adx_prog,電信,16093,34,22.12,USD,
cmp_202410_001,2024-10-13,top_banner,adx_prog,電信,104369,187,104.16,USD,0.587
cmp_202410_001,2024-10-14,top_banner,adx_prog,電信,61718,144,55.85,USD,
cmp_202410_001,2024-10-15,top_banner,adx_prog,電信,23442,43,35.07,USD,0.699
cmp_202410_001,2024-10-16,top_banner,adx_prog,電信,23867,27,29.75,USD,0.675
cmp_202410_001,2024-10-17,top_banner,adx_prog,電信,23371,46,26.16,USD,
cmp_202410_001,2024-10-18,top_banner,adx_prog,電信,60682,78,71.16,USD,
cmp_202410_001,2024-10-19,top_banner,adx_prog,電信,124630,276,137.39,USD,0.714
cmp_202410_001,2024-10-20,top_banner,adx_prog,電信,47432,62,67.08,USD,0.543
cmp_202410_001,2024-10-21,top_banner,adx_prog,電信,10264,26,11.2,USD,
cmp_202410_001,2024-10-22,top_banner,adx_prog,電信,28793,68,33.72,USD,0.417
cmp_202410_001,2024-10-23,top_banner,adx_prog,電信,50662,88,58.58,USD,
cmp_202410_001,2024-10-09,in_article,adx_prog,電信,15590,82,23.97,USD,0.638
cmp_202410_001,2024-10-10,in_article,adx_prog,電信,4025,18,6.86,USD,0.797
cmp_202410_001,2024-10-11,in_article,adx_prog,電信,28023,95,57.61,USD,
cmp_202410_001,2024-10-12,in_article,adx_prog,電信,20431,60,49.72,USD,0.476
cmp_202410_001,2024-10-13,in_article,adx_prog,電信,40890,175,79.66,USD,
cmp_202410_001,2024-10-14,in_article,adx_prog,電信,27433,118,65.58,USD,
cmp_202410_001,2024-10-15,in_article,adx_prog,電信,33975,165,52.21,USD,
cmp_202410_001,2024-10-16,in_article,adx_prog,電信,103762,595,200.3,USD,0.476
cmp_202410_001,2024-10-17,in_article,adx_prog,電信,46872,192,88.06,USD,
cmp_202410_001,2024-10-18,in_article,adx_prog,電信,36363,130,63.86,USD,0.641
cmp_202410_001,2024-10-19,in_article,adx_prog,電信,64341,245,112.76,USD,
cmp_202410_001,2024-10-20,in_article,adx_prog,電信,29830,140,47.36,USD,
cmp_202410_001,2024-10-21,in_article,adx_prog,電信,10628,37,22.69,USD,0.664
cmp_202410_001,2024-10-22,in_article,adx_prog,電信,75739,323,186.33,USD,0.659
cmp_202410_001,2024-10-23,in_article,adx_prog,電信,22837,81,38.93,USD,0.662
cmp_202410_002,2024-10-19,top_banner,kmg_direct,3C,23278,61,869.87,TWD,0.652
