content_id,stat_month,pv,uv,sessions,dwell_sec_total,bounce_sessions,share_cnt,comment_cnt,paywall_hit_cnt,conversion_cnt,ingest_ts,total_pv_lifetime
cnt_20241030_024,2024-10,783,593,700,115072,453,2,1,12,2,2024-12-04 14:00:00,1306
cnt_20241024_006,2024-10,163,116,137,15434,76,0,0,2,0,2024-11-28 22:00:00,286
cnt_20241010_034,2024-10,437,329,388,8381,211,1,1,7,2,2024-11-14 15:00:00,878
cnt_20241021_010,2024-10,2495,1879,2217,312548,1386,11,7,37,7,2024-11-25 16:00:00,3563
cnt_20241016_002,2024-10,256,196,231,5781,127,1,0,4,0,2024-11-20 15:00:00,381
cnt_20241020_026,2024-10,564,408,481,59752,185,3,1,9,3,2024-11-24 16:00:00,950
cnt_20241019_031,2024-10,937,652,769,16718,532,2,2,305,61,2024-11-23 11:00:00,2015
cnt_20241007_012,2024-10,826,654,772,15386,451,2,2,282,56,2024-11-11 18:00:00,1158
cnt_20241018_027,2024-10,1342,1009,1191,21810,811,6,1,23,4,2024-11-22 14:00:00,2288
cnt_20241017_025,2024-10,222,163,192,3541,121,1,0,4,1,2024-11-21 17:00:00,393
cnt_20241003_045,2024-10,1257,985,1162,29636,568,7,3,22,4,2024-11-07 08:00:00,1981
cnt_20241015_020,2024-10,1351,935,1103,34541,651,5,1,21,5,2024-11-19 18:00:00,2522
cnt_20241029_017,2024-10,562,392,463,51107,334,3,1,11,2,2024-12-03 21:00:00,797
cnt_20241016_003,2024-10,759,521,615,61277,321,2,1,12,4,2024-11-20 11:00:00,1579
cnt_20241028_051,2024-10,117,90,106,10311,60,1,0,2,1,2024-12-02 18:00:00,228
cnt_20241015_025,2024-10,90,64,76,2206,46,0,0,2,0,2024-11-19 16:00:00,148
cnt_20241017_010,2024-10,431,336,396,34647,190,2,0,111,32,2024-11-21 14:00:00,929
cnt_20241016_032,2024-10,896,590,696,24769,376,4,2,13,2,2024-11-20 10:00:00,1216
cnt_20241023_031,2024-10,521,345,407,66465,190,3,1,8,2,2024-11-27 15:00:00,909
cnt_20241012_018,2024-10,507,364,430,100095,235,2,1,10,2,2024-11-16 19:00:00,845
cnt_20241025_047,2024-10,1018,735,867,108553,366,4,3,17,5,2024-11-29 11:00:00,2151
cnt_20241028_028,2024-10,210,162,191,3495,115,1,0,4,1,2024-12-02 14:00:00,469
cnt_20241003_030,2024-10,108,78,92,2343,59,0,0,37,7,2024-11-07 07:00:00,229
cnt_20241009_026,2024-10,149,103,122,3108,82,1,0,48,9,2024-11-13 11:00:00,321
cnt_20241026_029,2024-10,136,103,122,14842,73,0,0,2,1,2024-11-30 21:00:00,303
cnt_20241025_008,2024-10,1498,991,1169,296482,744,8,3,20,4,2024-11-29 18:00:00,2622
cnt_20241023_009,2024-10,1212,838,989,25727,554,3,1,17,3,2024-11-27 19:00:00,1648
cnt_20241025_025,2024-10,421,327,386,42925,265,1,0,9,1,2024-11-29 13:00:00,598
cnt_20241021_008,2024-10,712,466,550,13922,364,4,2,10,2,2024-11-25 15:00:00,1321
cnt_20241025_034,2024-10,55,38,45,5548,23,0,0,14,4,2024-11-29 14:00:00,111
cnt_20241021_014,2024-10,588,389,459,12582,308,3,1,9,2,2024-11-25 10:00:00,1075
cnt_20241006_018,2024-10,489,376,444,89562,258,3,1,11,2,2024-11-10 08:00:00,959
cnt_20241024_050,2024-10,135,95,112,2333,71,1,0,3,1,2024-11-28 13:00:00,275
cnt_20241011_044,2024-10,383,258,304,67298,206,2,1,6,1,2024-11-15 12:00:00,850
cnt_20241002_006,2024-10,44,32,38,4392,13,0,0,11,3,2024-11-06 12:00:00,80
cnt_20241027_004,2024-10,594,469,553,50792,237,2,2,13,4,2024-12-01 16:00:00,1080
cnt_20241009_003,2024-10,325,237,280,43813,104,2,0,5,2,2024-11-13 18:00:00,629
